field,prefix,label
rischio_adulti,Indice regionale,Fattori di Rischio Potenziali Maltrattanti
servizi_adulti,Indice regionale,Servizi per Potenziali Maltrattanti
servizi_bambini,Indice regionale,Servizi per Bambini/e
rischio_bambini,Indice regionale,Sintomi Potenziale Maltrattamento dei Bambini/e
cura,Capacità di,Cura
vita_sana,Capacità di,Vivere una Vita Sana
vita_sicura,Capacità di,Vivere una Vita Sicura
conoscenza_sapere,Capacità di,Acquisire Conoscenza e Sapere
lavorare,Capacità di,Lavorare
accedere_risorse,Capacità di,Accedere alle Risorse e ai Servizi
rischio,Indice regionale,Fattori di rischio
servizi,Indice regionale,Servizi
totale,Indice regionale,Maltrattamento e Cura all'Infanzia in Italia
