territory,year,indicator,value
Abruzzo,2018,accedere_rischio,-0.18
Basilicata,2018,accedere_rischio,-0.182
Calabria,2018,accedere_rischio,-0.791
Campania,2018,accedere_rischio,-1.552
Emilia-Romagna,2018,accedere_rischio,0.689
Friuli-Venezia Giulia,2018,accedere_rischio,0.664
Lazio,2018,accedere_rischio,0.035
Liguria,2018,accedere_rischio,0.176
Lombardia,2018,accedere_rischio,0.332
Marche,2018,accedere_rischio,0.087
Molise,2018,accedere_rischio,0.168
Piemonte,2018,accedere_rischio,0.289
Puglia,2018,accedere_rischio,-0.743
Sardegna,2018,accedere_rischio,-0.562
Sicilia,2018,accedere_rischio,-1.109
Toscana,2018,accedere_rischio,0.57
Trentino-Alto Adige,2018,accedere_rischio,0.666
Umbria,2018,accedere_rischio,0.169
Valle d'Aosta,2018,accedere_rischio,0.439
Veneto,2018,accedere_rischio,0.835
Abruzzo,2018,accedere_servizi,-0.693
Basilicata,2018,accedere_servizi,-0.864
Calabria,2018,accedere_servizi,-0.703
Campania,2018,accedere_servizi,-0.841
Emilia-Romagna,2018,accedere_servizi,0.907
Friuli-Venezia Giulia,2018,accedere_servizi,2.426
Lazio,2018,accedere_servizi,-0.493
Liguria,2018,accedere_servizi,-0.58
Lombardia,2018,accedere_servizi,-0.325
Marche,2018,accedere_servizi,-0.014
Molise,2018,accedere_servizi,-0.703
Piemonte,2018,accedere_servizi,1.345
Puglia,2018,accedere_servizi,-0.666
Sardegna,2018,accedere_servizi,-0.102
Sicilia,2018,accedere_servizi,-0.785
Toscana,2018,accedere_servizi,0.66
Trentino-Alto Adige,2018,accedere_servizi,-0.475
Umbria,2018,accedere_servizi,0.29
Valle d'Aosta,2018,accedere_servizi,0.105
Veneto,2018,accedere_servizi,1.511
Abruzzo,2018,conoscenza_rischio,0.451
Basilicata,2018,conoscenza_rischio,-0.077
Calabria,2018,conoscenza_rischio,-1.372
Campania,2018,conoscenza_rischio,-1.705
Emilia-Romagna,2018,conoscenza_rischio,0.55
Friuli-Venezia Giulia,2018,conoscenza_rischio,0.093
Lazio,2018,conoscenza_rischio,1.043
Liguria,2018,conoscenza_rischio,-0.044
Lombardia,2018,conoscenza_rischio,0.561
Marche,2018,conoscenza_rischio,0.993
Molise,2018,conoscenza_rischio,0.416
Piemonte,2018,conoscenza_rischio,0.342
Puglia,2018,conoscenza_rischio,-1.602
Sardegna,2018,conoscenza_rischio,-0.82
Sicilia,2018,conoscenza_rischio,-1.76
Toscana,2018,conoscenza_rischio,0.397
