territory,year,indicatore,valore
Abruzzo,2018,indice_totale,-0.727686456526136
Basilicata,2018,indice_totale,-0.8012498946479709
Calabria,2018,indice_totale,-0.009479239522517701
Campania,2018,indice_totale,-0.6682232828151256
Emilia-Romagna,2018,indice_totale,0.3806106975103211
Friuli-Venezia Giulia,2018,indice_totale,0.7212043122254911
Lazio,2018,indice_totale,0.5154677802379473
Liguria,2018,indice_totale,0.07600848872740755
Lombardia,2018,indice_totale,0.14574438462438027
Marche,2018,indice_totale,0.5189316049039233
Molise,2018,indice_totale,-0.6906198277546473
Piemonte,2018,indice_totale,0.3275881051937762
Puglia,2018,indice_totale,-0.9833155065013284
Sardegna,2018,indice_totale,-0.8385171971937428
Sicilia,2018,indice_totale,-0.6830293324440904
Toscana,2018,indice_totale,0.49191716680793035
Trentino Alto Adige,2018,indice_totale,0.862458211711491
Umbria,2018,indice_totale,0.2033330056223705
Valle d'Aosta,2018,indice_totale,0.7461413491298826
Veneto,2018,indice_totale,0.41271563071064127
Abruzzo,2019,indice_totale,-0.20680020573684138
Basilicata,2019,indice_totale,0.01594942605442848
Calabria,2019,indice_totale,-0.2415824790493312
Campania,2019,indice_totale,-1.6469443035630609
Emilia-Romagna,2019,indice_totale,0.40251204614199265
Friuli-Venezia Giulia,2019,indice_totale,0.4166698477551135
Lazio,2019,indice_totale,-0.2695636841235928
Liguria,2019,indice_totale,0.2144236808820047
Lombardia,2019,indice_totale,0.45787678611252597
Marche,2019,indice_totale,0.21550753346761167
Molise,2019,indice_totale,0.23392194958757612
Piemonte,2019,indice_totale,0.3929591981598121
Puglia,2019,indice_totale,-0.8056302016298789
Sardegna,2019,indice_totale,0.042840500257924984
Sicilia,2019,indice_totale,-1.2239082734273388
Toscana,2019,indice_totale,0.23692199895885419
Trentino Alto Adige,2019,indice_totale,1.011895201873062
Umbria,2019,indice_totale,0.03777705988206308
Valle d'Aosta,2019,indice_totale,0.10985524323726843
Veneto,2019,indice_totale,0.6053186751597849
Abruzzo,2020,indice_totale,-0.19405048308430972
Basilicata,2020,indice_totale,0.3306919999515972
Calabria,2020,indice_totale,-0.2599639495807917
Campania,2020,indice_totale,-1.8206924560557867
Emilia-Romagna,2020,indice_totale,0.4637359613421768
Friuli-Venezia Giulia,2020,indice_totale,0.4772204520947394
Lazio,2020,indice_totale,-0.4418982175904805
Liguria,2020,indice_totale,0.2764003710062464
Lombardia,2020,indice_totale,0.5118187388902207
Marche,2020,indice_totale,0.09659752701401796
Molise,2020,indice_totale,-0.15350564389947666
Piemonte,2020,indice_totale,0.12331079435721508
Puglia,2020,indice_totale,-0.792044312487535
Sardegna,2020,indice_totale,0.35933980181760505
Sicilia,2020,indice_totale,-1.2349774901359198
Toscana,2020,indice_totale,0.2586172506500021
Trentino Alto Adige,2020,indice_totale,0.8071676303070061
Umbria,2020,indice_totale,0.19763282557090125
Valle d'Aosta,2020,indice_totale,0.4683642474478805
Veneto,2020,indice_totale,0.5262349523847321
Abruzzo,2021,indice_totale,-0.22581138680143908
Basilicata,2021,indice_totale,0.19098126540369953
Calabria,2021,indice_totale,-0.5535487332774515
Campania,2021,indice_totale,-1.6692895401527732
Emilia-Romagna,2021,indice_totale,0.4080472847576519
