territory,year,indice_totale,indice_capacita,rk_cura,rk_vita_sana,rk_vita_sicura,rk_conoscenza_sapere,rk_lavorare,rk_accedere_risorse
Abruzzo,2018,-0.727686456526136,,,,,,,
Basilicata,2018,-0.8012498946479709,,,,,,,
Calabria,2018,-0.009479239522517701,,,,,,,
Campania,2018,-0.6682232828151256,,,,,,,
Emilia-Romagna,2018,0.3806106975103211,,,,,,,
Friuli-Venezia Giulia,2018,0.7212043122254911,,,,,,,
Lazio,2018,0.5154677802379473,,,,,,,
Liguria,2018,0.07600848872740755,,,,,,,
Lombardia,2018,0.14574438462438027,,,,,,,
Marche,2018,0.5189316049039233,,,,,,,
Molise,2018,-0.6906198277546473,,,,,,,
Piemonte,2018,0.3275881051937762,,,,,,,
Puglia,2018,-0.9833155065013284,,,,,,,
Sardegna,2018,-0.8385171971937428,,,,,,,
Sicilia,2018,-0.6830293324440904,,,,,,,
Toscana,2018,0.49191716680793035,,,,,,,
Trentino Alto Adige,2018,0.862458211711491,,,,,,,
Umbria,2018,0.2033330056223705,,,,,,,
Valle d'Aosta,2018,0.7461413491298826,,,,,,,
Veneto,2018,0.41271563071064127,,,,,,,
Abruzzo,2019,-0.20680020573684138,,,,,,,
Basilicata,2019,0.01594942605442848,,,,,,,
Calabria,2019,-0.2415824790493312,,,,,,,
Campania,2019,-1.6469443035630609,,,,,,,
Emilia-Romagna,2019,0.40251204614199265,,,,,,,
Friuli-Venezia Giulia,2019,0.4166698477551135,,,,,,,
Lazio,2019,-0.2695636841235928,,,,,,,
Liguria,2019,0.2144236808820047,,,,,,,
Lombardia,2019,0.45787678611252597,,,,,,,
Marche,2019,0.21550753346761167,,,,,,,
Molise,2019,0.23392194958757612,,,,,,,
Piemonte,2019,0.3929591981598121,,,,,,,
Puglia,2019,-0.8056302016298789,,,,,,,
Sardegna,2019,0.042840500257924984,,,,,,,
Sicilia,2019,-1.2239082734273388,,,,,,,
Toscana,2019,0.23692199895885419,,,,,,,
Trentino Alto Adige,2019,1.011895201873062,,,,,,,
Umbria,2019,0.03777705988206308,,,,,,,
Valle d'Aosta,2019,0.10985524323726843,,,,,,,
Veneto,2019,0.6053186751597849,,,,,,,
Abruzzo,2020,-0.19405048308430972,,,,,,,
Basilicata,2020,0.3306919999515972,,,,,,,
Calabria,2020,-0.2599639495807917,,,,,,,
Campania,2020,-1.8206924560557867,,,,,,,
Emilia-Romagna,2020,0.4637359613421768,,,,,,,
Friuli-Venezia Giulia,2020,0.4772204520947394,,,,,,,
Lazio,2020,-0.4418982175904805,,,,,,,
Liguria,2020,0.2764003710062464,,,,,,,
Lombardia,2020,0.5118187388902207,,,,,,,
Marche,2020,0.09659752701401796,,,,,,,
Molise,2020,-0.15350564389947666,,,,,,,
Piemonte,2020,0.12331079435721508,,,,,,,
Puglia,2020,-0.792044312487535,,,,,,,
Sardegna,2020,0.35933980181760505,,,,,,,
Sicilia,2020,-1.2349774901359198,,,,,,,
Toscana,2020,0.2586172506500021,,,,,,,
Trentino Alto Adige,2020,0.8071676303070061,,,,,,,
Umbria,2020,0.19763282557090125,,,,,,,
Valle d'Aosta,2020,0.4683642474478805,,,,,,,
Veneto,2020,0.5262349523847321,,,,,,,
Abruzzo,2021,-0.22581138680143908,,,,,,,
Basilicata,2021,0.19098126540369953,,,,,,,
Calabria,2021,-0.5535487332774515,,,,,,,
Campania,2021,-1.6692895401527732,,,,,,,
Emilia-Romagna,2021,0.4080472847576519,,,,,,,
Friuli-Venezia Giulia,2021,0.3654329119776781,,,,,,,
Lazio,2021,-0.2226223060815019,,,,,,,
Liguria,2021,0.35385832654735244,,,,,,,
Lombardia,2021,0.5330139345283135,,,,,,,
Marche,2021,-0.1377701015022235,,,,,,,
Molise,2021,0.2778052553141989,,,,,,,
Piemonte,2021,0.19076776570917117,,,,,,,
Puglia,2021,-0.9152058272828294,,,,,,,
Sardegna,2021,0.14311398855534047,,,,,,,
Sicilia,2021,-1.0678398345468358,,,,,,,
Toscana,2021,0.17120432312428446,,,,,,,
Trentino Alto Adige,2021,0.9706076658094014,,,,,,,
Umbria,2021,0.3400926797016025,,,,,,,
Valle d'Aosta,2021,0.40222472583994384,,,,,,,
Veneto,2021,0.444937602376419,,,,,,,
Abruzzo,2022,-0.3132768789000122,-0.13,15.0,13.0,12.0,2.0,12.0,18.0
Basilicata,2022,0.29248085976530885,-0.174,9.0,18.0,15.0,9.0,16.0,14.0
Calabria,2022,-0.26781366194937484,-0.774,19.0,19.0,17.0,19.0,18.0,15.0
Campania,2022,-1.6748970824442724,-1.09,20.0,20.0,20.0,18.0,20.0,20.0
Emilia-Romagna,2022,0.3904809620411791,0.71,1.0,6.0,3.0,7.0,3.0,3.0
Friuli-Venezia Giulia,2022,0.5301335482527416,0.535,12.0,10.0,2.0,6.0,6.0,2.0
Lazio,2022,-0.19828515346008413,-0.129,16.0,7.0,19.0,1.0,15.0,13.0
Liguria,2022,0.48879627031881345,0.322,2.0,3.0,9.0,5.0,9.0,10.0
Lombardia,2022,0.5605472050863033,0.106,11.0,14.0,11.0,14.0,5.0,6.0
Marche,2022,0.03882076107058359,0.041,14.0,9.0,7.0,12.0,10.0,9.0
Molise,2022,-0.02036247198538918,-0.253,13.0,12.0,14.0,11.0,17.0,17.0
Piemonte,2022,0.1537713444056349,0.238,5.0,16.0,13.0,15.0,2.0,5.0
Puglia,2022,-0.8949758037242748,-0.527,17.0,15.0,16.0,17.0,14.0,16.0
Sardegna,2022,-0.02696084700456089,-0.006,8.0,11.0,6.0,13.0,13.0,12.0
Sicilia,2022,-1.2772499667876949,-0.957,18.0,17.0,18.0,20.0,19.0,19.0
Toscana,2022,0.25484834894421515,0.336,10.0,2.0,10.0,4.0,8.0,7.0
Trentino Alto Adige,2022,0.9177907167279744,0.703,6.0,4.0,1.0,8.0,7.0,1.0
Umbria,2022,0.14796598606600117,0.279,7.0,8.0,5.0,3.0,11.0,8.0
Valle d'Aosta,2022,0.3074422242648639,0.304,3.0,1.0,4.0,16.0,4.0,11.0
Veneto,2022,0.5907436393120491,0.575,4.0,5.0,8.0,10.0,1.0,4.0
Abruzzo,2024,-0.5559072505730678,-0.09505797055749217,14.0,16.0,12.0,5.0,12.0,15.0
Basilicata,2024,0.021970320117746384,-0.12319108322543541,10.0,17.0,17.0,9.0,14.0,12.0
Calabria,2024,-0.48625765984954233,-0.546050555595828,19.0,18.0,6.0,17.0,18.0,18.0
Campania,2024,-1.8232426899696406,-1.0566895774250593,20.0,20.0,20.0,18.0,20.0,20.0
Emilia-Romagna,2024,0.39398243404824224,0.6965379619673842,1.0,4.0,3.0,11.0,6.0,1.0
Friuli-Venezia Giulia,2024,0.4300940498633502,0.3579498371720358,12.0,14.0,2.0,8.0,2.0,4.0
Lazio,2024,-0.22371314385346086,-0.13362009378968587,16.0,8.0,19.0,3.0,13.0,13.0
Liguria,2024,0.41485672875012486,0.18596993225975367,4.0,5.0,10.0,13.0,7.0,9.0
Lombardia,2024,0.6420356089142564,0.10899503786808722,11.0,12.0,5.0,14.0,5.0,10.0
Marche,2024,0.044125597253863974,0.20381382418161498,13.0,10.0,8.0,4.0,10.0,6.0
Molise,2024,-0.23847357874735042,-0.1259557582515617,15.0,11.0,14.0,7.0,15.0,14.0
Piemonte,2024,0.5127382020556327,-0.07093012992401683,3.0,15.0,15.0,16.0,9.0,11.0
Puglia,2024,-0.8448906188080295,-0.6907244874752196,17.0,13.0,18.0,19.0,17.0,17.0
Sardegna,2024,0.16594701631850034,-0.06035446414163307,6.0,9.0,9.0,10.0,16.0,16.0
Sicilia,2024,-1.2663713694705967,-0.8649120161328003,18.0,19.0,16.0,20.0,19.0,19.0
Toscana,2024,0.18846969877008254,0.33768098989398526,9.0,1.0,13.0,2.0,8.0,5.0
Trentino Alto Adige,2024,0.8952391655398365,0.6444125456152239,8.0,3.0,4.0,1.0,3.0,2.0
Umbria,2024,0.2726946308403243,0.3223169878623031,2.0,7.0,1.0,12.0,11.0,8.0
Valle d'Aosta,2024,0.19126771397999204,0.34392949147597585,5.0,2.0,11.0,6.0,4.0,7.0
Veneto,2024,0.4257509207986457,0.5321820808335284,7.0,6.0,7.0,15.0,1.0,3.0
